p,q,f,out
740,645,4,1385
447,789,5,1236
539,199,4,738
554,322,4,876
523,208,3,731
735,68,7,803
979,852,2,1831
554,184,7,738
465,566,5,1031
621,545,6,1166
805,134,4,939
240,951,10,1191
849,573,7,1422
334,67,9,401
104,542,3,646
687,530,5,1217
723,342,9,1065
776,397,10,1173
82,543,3,625
821,860,8,1681
435,201,3,636
665,927,8,1592
684,838,4,1522
941,705,4,1646
303,150,10,453
290,705,7,995
229,923,7,1152
827,327,5,1154
428,98,3,526
687,796,5,1483
193,721,4,914
270,537,7,807
560,304,2,864
107,925,5,1032
996,855,7,1851
261,409,4,670
50,101,2,151
576,6,8,582
815,837,4,1652
653,912,3,1565
318,556,10,874
397,212,6,609
302,714,6,1016
881,254,5,1135
861,245,3,1106
468,448,6,916
268,688,4,956
877,4,6,881
411,756,9,1167
708,189,2,897
526,225,10,751
126,96,10,222
941,562,8,1503
500,750,4,1250
486,768,10,1254
192,992,10,1184
267,519,2,786
449,385,3,834
567,513,4,1080
157,193,3,350
282,787,4,1069
542,329,10,871
916,120,2,1036
242,923,6,1165
966,821,6,1787
839,333,10,1172
900,393,10,1293
940,390,6,1330
920,890,6,1810
403,381,1,784
359,62,7,421
872,623,6,1495
264,665,8,929
510,693,1,1203
383,160,10,543
676,28,8,704
874,991,6,1865
852,44,4,896
684,652,3,1336
250,863,4,1113
217,208,4,425
466,460,6,926
224,793,9,1017
649,70,2,719
632,916,5,1548
378,873,7,1251
168,137,2,305
539,956,1,1495
319,579,6,898
422,473,1,895
800,234,6,1034
374,411,4,785
173,778,9,951
379,301,5,680
673,781,9,1454
152,757,4,909
361,997,5,1358
992,661,2,1653
992,939,7,1931
477,212,2,689
638,692,9,1330
750,449,3,1199
785,298,4,1083
134,855,9,989
60,28,3,88
516,901,9,1417
190,92,10,282
722,776,8,1498
554,297,10,851
652,381,3,1033
194,192,6,386
678,216,10,894
493,224,10,717
597,864,5,1461
754,940,7,1694
962,964,3,1926
793,281,8,1074
876,326,7,1202
777,403,2,1180
732,73,8,805
773,496,6,1269
896,757,6,1653
991,822,9,1813
143,996,8,1139
11,822,3,833
779,753,3,1532
946,648,5,1594
429,639,9,1068
636,326,7,962
832,556,6,1388
380,736,2,1116
4,390,10,394
378,71,1,449
843,257,2,1100
452,252,6,704
975,619,3,1594
997,973,4,1970
176,593,9,769
543,216,4,759
755,159,10,914
380,287,9,667
159,803,5,962
389,975,8,1364
884,459,6,1343
421,609,1,1030
678,797,6,1475
308,4,4,312
711,428,3,1139
559,584,8,1143
283,677,2,960
45,410,1,455
465,353,5,818
468,943,3,1411
395,466,6,861
390,101,4,491
403,950,3,1353
739,132,9,871
968,523,3,1491
266,534,2,800
658,175,1,833
651,617,8,1268
637,101,6,738
456,980,5,1436
792,959,4,1751
924,738,8,1662
148,597,9,745
847,728,7,1575
251,583,9,834
529,403,7,932
610,950,1,1560
805,603,4,1408
842,101,3,943
80,266,1,346
971,25,4,996
460,160,5,620
724,960,1,1684
874,548,1,1422
431,768,4,1199
29,354,4,383
805,466,7,1271
900,794,4,1694
511,854,4,1365
842,330,10,1172
941,453,8,1394
38,567,1,605
457,144,3,601
796,213,4,1009
708,317,1,1025
249,615,9,864
21,242,10,263
495,138,10,633
838,27,9,865
650,996,9,1646
668,989,4,1657
576,395,1,971
633,786,5,1419
174,792,9,966
724,442,7,1166
0,538,1,538
266,32,5,298
581,671,1,1252
86,809,5,895
739,54,8,793
905,975,7,1880
914,231,6,1145
37,599,3,636
932,145,10,1077
587,828,8,1415
600,356,1,956
880,802,1,1682
437,698,8,1135
717,198,3,915
336,987,7,1323
458,884,10,1342
126,954,4,1080
207,565,3,772
527,505,9,1032
328,84,9,412
431,724,6,1155
462,794,7,1256
544,530,3,1074
32,720,8,752
442,81,4,523
754,368,3,1122
923,223,1,1146
347,303,5,650
670,836,10,1506
542,207,7,749
554,559,10,1113
20,493,10,513
3,677,2,680
368,801,3,1169
362,17,2,379
167,468,10,635
292,175,5,467
271,82,5,353
80,226,4,306
353,664,10,1017
565,892,9,1457
110,57,5,167
458,220,5,678
422,550,6,972
315,4,10,319
791,559,9,1350
936,706,4,1642
14,401,10,415
890,797,7,1687
470,494,3,964
97,853,2,950
470,492,10,962
684,778,10,1462
615,547,10,1162
239,359,7,598
523,956,2,1479
244,774,10,1018
390,38,8,428
31,36,10,67
117,152,5,269
709,165,1,874
347,28,1,375
523,336,2,859
913,745,1,1658
496,447,6,943
592,754,8,1346
174,785,4,959
921,782,6,1703
258,902,5,1160
796,654,9,1450
710,481,8,1191
108,278,6,386
413,461,5,874
424,468,3,892
642,175,7,817
956,356,7,1312
211,371,5,582
224,585,4,809
603,777,5,1380
606,638,4,1244
209,842,3,1051
198,220,2,418
814,92,2,906
843,496,7,1339
892,820,3,1712
531,64,2,595
839,33,2,872
991,624,6,1615
112,94,8,206
552,543,5,1095
258,861,10,1119
28,102,4,130
321,458,2,779
230,456,3,686
804,711,1,1515
356,14,7,370
660,582,7,1242
334,410,3,744
495,805,8,1300
737,319,4,1056
796,890,8,1686
808,587,8,1395
215,229,6,444
992,110,5,1102
966,584,9,1550
178,776,4,954
892,11,8,903
175,737,5,912
426,147,2,573
989,662,1,1651
10,305,7,315
586,270,9,856
727,962,9,1689
562,518,9,1080
197,254,6,451
844,260,1,1104
111,17,10,128
974,326,10,1300
571,327,3,898
335,592,9,927
2,228,7,230
146,361,6,507
858,110,10,968
798,907,10,1705
292,169,10,461
564,784,6,1348
792,772,3,1564
62,621,9,683
984,632,5,1616
105,402,10,507
416,92,9,508
213,995,8,1208
392,146,8,538
897,293,2,1190
210,25,9,235
860,861,8,1721
30,143,6,173
287,954,7,1241
964,316,8,1280
411,724,7,1135
390,427,5,817
443,686,3,1129
767,25,1,792
300,499,3,799
815,503,7,1318
72,749,5,821
289,926,10,1215
673,811,5,1484
167,555,1,722
411,943,6,1354
927,734,10,1661
148,680,4,828
361,71,5,432
814,956,5,1770
157,141,4,298
882,712,9,1594
603,388,7,991
618,975,9,1593
673,96,1,769
484,655,5,1139
964,921,9,1885
676,325,1,1001
794,459,9,1253
667,816,9,1483
703,104,4,807
324,295,1,619
964,826,3,1790
986,359,6,1345
441,892,6,1333
703,48,8,751
916,908,3,1824
736,907,10,1643
295,748,5,1043
607,914,2,1521
803,223,1,1026
559,687,6,1246
263,679,3,942
122,506,10,628
419,286,3,705
647,923,2,1570
745,126,1,871
119,20,5,139
135,349,8,484
476,856,2,1332
949,296,7,1245
435,165,3,600
91,97,2,188
559,224,4,783
359,1,8,360
289,31,6,320
961,637,8,1598
23,176,6,199
386,729,5,1115
507,532,8,1039
116,536,9,652
935,844,8,1779
342,701,9,1043
158,715,3,873
521,100,2,621
433,345,8,778
563,873,7,1436
157,581,7,738
12,348,10,360
606,671,10,1277
936,882,1,1818
361,81,10,442
79,771,3,850
186,605,2,791
151,406,3,557
987,549,4,1536
874,215,10,1089
249,687,8,936
812,672,5,1484
65,194,6,259
124,380,1,504
793,983,9,1776
764,150,5,914
74,642,10,716
963,32,10,995
335,833,1,1168
864,882,4,1746
282,687,5,969
842,123,3,965
290,316,2,606
635,568,3,1203
77,993,5,1070
388,618,5,1006
101,9,5,110
433,332,1,765
493,916,7,1409
60,156,1,216
230,863,3,1093
959,754,7,1713
548,876,6,1424
190,630,8,820
594,435,7,1029
591,806,1,1397
108,215,8,323
151,596,6,747
230,325,7,555
348,802,4,1150
817,828,3,1645
363,613,3,976
476,674,6,1150
344,525,10,869
52,974,2,1026
161,985,10,1146
664,686,2,1350
842,210,5,1052
256,184,4,440
128,651,8,779
435,737,6,1172
709,986,10,1695
992,234,4,1226
169,995,1,1164
376,668,9,1044
957,782,9,1739
478,562,10,1040
437,799,5,1236
43,783,6,826
789,148,10,937
220,18,7,238
998,185,9,1183
567,867,10,1434
973,587,4,1560
341,336,1,677
427,834,1,1261
24,520,3,544
837,156,9,993
337,519,10,856
462,927,2,1389
363,461,5,824
701,304,5,1005
254,796,2,1050
186,45,5,231
377,516,5,893
800,74,9,874
160,731,4,891
217,828,9,1045
11,219,8,230
554,751,1,1305
524,988,6,1512
315,245,8,560
598,254,10,852
442,273,9,715
268,985,6,1253
707,291,5,998
541,790,1,1331
426,621,1,1047
268,886,7,1154
605,885,5,1490
546,630,4,1176
322,821,6,1143
360,602,2,962
554,435,7,989
547,642,1,1189
44,64,1,108
702,332,8,1034
332,468,9,800
583,154,8,737
80,323,5,403
124,787,4,911
647,564,2,1211
94,426,10,520
2,501,1,503
926,742,9,1668
322,438,5,760
123,539,8,662
57,875,8,932
235,376,7,611
527,755,10,1282
525,49,10,574
989,875,3,1864
182,262,1,444
986,8,10,994
578,880,6,1458
837,470,8,1307
904,175,5,1079
311,530,2,841
22,655,9,677
534,694,6,1228
679,823,9,1502
414,72,8,486
596,38,5,634
20,149,6,169
110,914,6,1024
466,778,3,1244
815,328,4,1143
10,232,7,242
942,864,2,1806
537,781,4,1318
8,637,6,645
387,341,3,728
435,896,10,1331
665,747,2,1412
323,739,6,1062
862,371,2,1233
861,374,8,1235
824,140,3,964
798,165,9,963
847,793,2,1640
482,583,7,1065
733,872,5,1605
402,958,1,1360
972,570,10,1542
113,583,5,696
936,732,8,1668
564,655,1,1219
901,916,1,1817
940,834,4,1774
38,211,8,249
220,779,7,999
674,637,7,1311
866,464,9,1330
674,850,7,1524
816,878,4,1694
869,535,3,1404
575,59,3,634
348,509,3,857
309,157,10,466
305,646,4,951
478,955,3,1433
25,285,5,310
438,813,1,1251
233,785,3,1018
942,391,3,1333
912,746,5,1658
636,863,4,1499
180,684,10,864
296,620,5,916
809,594,1,1403
879,490,10,1369
524,132,7,656
548,216,6,764
53,645,1,698
38,374,2,412
702,977,5,1679
648,645,5,1293
124,206,3,330
505,672,9,1177
167,623,10,790
56,447,3,503
8,734,3,742
540,702,9,1242
810,513,8,1323
378,896,3,1274
96,444,4,540
974,973,8,1947
217,350,1,567
173,302,2,475
165,129,1,294
674,718,2,1392
282,6,7,288
41,600,8,641
887,241,5,1128
573,585,8,1158
269,365,8,634
416,166,1,582
500,445,6,945
451,244,1,695
996,646,10,1642
840,497,3,1337
741,816,7,1557
126,143,1,269
148,430,7,578
961,582,1,1543
868,608,4,1476
989,709,7,1698
928,105,6,1033
348,139,6,487
975,766,1,1741
748,802,5,1550
205,973,5,1178
495,923,3,1418
939,761,8,1700
525,434,8,959
898,825,6,1723
467,636,9,1103
787,339,5,1126
610,14,1,624
934,975,10,1909
397,683,6,1080
880,235,4,1115
815,964,2,1779
521,200,9,721
260,50,8,310
15,388,10,403
980,261,10,1241
207,804,6,1011
476,906,9,1382
748,456,1,1204
861,577,2,1438
938,878,6,1816
959,714,1,1673
620,861,3,1481
850,457,1,1307
615,66,1,681
168,19,7,187
974,906,1,1880
316,894,4,1210
617,723,8,1340
884,662,5,1546
70,540,4,610
667,29,9,696
243,480,5,723
300,22,3,322
448,309,2,757
136,146,4,282
617,385,8,1002
78,787,5,865
270,816,3,1086
270,588,5,858
390,360,2,750
17,716,4,733
938,341,8,1279
489,239,1,728
43,580,7,623
861,383,6,1244
159,721,5,880
476,595,1,1071
439,73,4,512
495,310,2,805
457,747,5,1204
312,222,6,534
777,963,6,1740
387,986,8,1373
240,738,10,978
606,943,7,1549
214,428,8,642
441,440,8,881
287,765,8,1052
623,932,9,1555
355,795,4,1150
755,191,4,946
769,306,5,1075
349,200,5,549
842,98,6,940
620,933,10,1553
34,589,4,623
183,766,4,949
262,967,6,1229
532,444,8,976
163,379,1,542
104,542,5,646
346,865,2,1211
939,573,10,1512
443,561,5,1004
721,88,3,809
103,280,8,383
805,942,3,1747
816,632,1,1448
840,484,2,1324
735,206,5,941
694,351,10,1045
215,585,5,800
771,703,6,1474
642,402,1,1044
635,540,9,1175
996,544,4,1540
715,742,2,1457
831,994,10,1825
892,447,10,1339
490,6,4,496
848,796,10,1644
512,568,10,1080
640,621,9,1261
98,363,3,461
561,929,3,1490
778,329,1,1107
516,943,4,1459
371,915,3,1286
886,798,9,1684
17,391,3,408
590,842,3,1432
747,429,9,1176
650,849,3,1499
761,235,1,996
32,262,9,294
270,9,5,279
930,57,3,987
514,974,4,1488
915,358,9,1273
596,660,2,1256
591,402,8,993
656,949,8,1605
567,828,10,1395
705,743,2,1448
480,474,10,954
309,432,5,741
93,257,8,350
578,390,9,968
468,222,3,690
675,761,4,1436
103,44,1,147
324,880,8,1204
925,431,5,1356
561,179,6,740
706,687,10,1393
662,863,6,1525
925,367,7,1292
916,911,2,1827
2,767,9,769
17,507,5,524
644,941,7,1585
166,654,10,820
871,534,6,1405
848,916,6,1764
489,630,9,1119
331,108,5,439
970,524,9,1494
341,672,10,1013
327,387,2,714
612,196,5,808
707,155,8,862
223,296,10,519
161,915,4,1076
91,378,5,469
578,902,1,1480
683,614,5,1297
63,88,6,151
886,230,8,1116
79,407,1,486
149,538,6,687
268,63,9,331
105,608,3,713
446,436,7,882
803,69,9,872
290,646,7,936
798,959,5,1757
951,399,10,1350
999,767,4,1766
600,720,2,1320
294,476,6,770
460,525,7,985
505,703,2,1208
85,390,1,475
661,157,3,818
742,510,2,1252
507,938,10,1445
860,306,3,1166
288,597,8,885
366,484,1,850
634,437,8,1071
87,34,10,121
933,236,7,1169
527,973,4,1500
296,177,3,473
786,310,6,1096
710,939,6,1649
543,287,4,830
15,767,9,782
48,905,1,953
707,422,4,1129
435,939,10,1374
915,126,7,1041
321,686,1,1007
800,301,3,1101
641,305,8,946
66,88,5,154
770,535,5,1305
553,787,7,1340
207,845,4,1052
596,652,1,1248
999,555,3,1554
961,294,4,1255
841,357,6,1198
99,991,2,1090
843,230,6,1073
265,343,4,608
682,277,9,959
593,399,1,992
729,565,3,1294
667,773,9,1440
640,929,6,1569
833,255,8,1088
604,384,4,988
659,882,8,1541
427,485,10,912
665,902,3,1567
14,18,7,32
691,146,3,837
717,853,6,1570
67,251,7,318
297,565,6,862
650,565,1,1215
694,637,6,1331
220,473,3,693
602,216,4,818
964,887,1,1851
614,546,3,1160
97,858,3,955
253,392,1,645
762,840,4,1602
455,420,9,875
429,429,7,858
400,584,4,984
786,886,5,1672
264,848,2,1112
19,320,5,339
464,516,1,980
194,801,1,995
743,324,3,1067
655,923,9,1578
941,912,4,1853
434,196,6,630
35,286,8,321
625,493,1,1118
406,244,5,650
864,723,8,1587
605,119,3,724
101,680,9,781
703,189,7,892
427,874,6,1301
695,483,3,1178
938,189,4,1127
