,p,q,f,out
263,887,627,4,1514
264,349,511,1,860
265,436,425,1,861
266,804,48,7,756
267,311,537,8,-226
268,40,510,5,-470
269,145,707,7,-562
270,562,685,6,-123
271,532,35,1,567
272,750,491,7,259
273,434,405,10,29
274,428,311,2,739
275,198,814,6,-616
276,418,652,2,1070
277,752,169,2,921
278,153,914,9,-761
279,892,118,2,1010
280,260,948,1,1208
281,297,388,9,-91
282,435,995,8,-560
283,10,309,1,319
284,620,890,1,1510
285,744,165,5,579
286,911,614,5,297
287,223,264,5,-41
288,282,298,1,580
289,397,181,8,216
290,256,709,6,-453
291,845,529,8,316
292,672,422,10,250
293,827,287,3,1114
294,571,562,5,9
295,291,180,4,471
296,238,645,9,-407
297,447,380,10,67
298,920,582,7,338
299,690,51,9,639
300,717,677,5,40
301,448,644,8,-196
302,991,921,10,70
303,310,374,7,-64
304,427,867,9,-440
305,460,507,7,-47
306,307,573,8,-266
307,524,878,8,-354
308,604,97,2,701
309,452,347,10,105
310,714,82,7,632
311,10,402,3,412
312,596,480,10,116
313,661,147,8,514
314,279,377,5,-98
315,202,82,2,284
316,663,455,1,1118
317,11,170,9,-159
318,117,29,7,88
319,345,361,2,706
320,23,975,4,998
321,279,60,3,339
322,128,270,5,-142
323,403,925,9,-522
324,314,24,4,338
325,946,400,7,546
326,432,490,1,922
327,263,180,9,83
328,203,312,9,-109
329,123,315,4,438
330,901,35,3,936
331,892,658,2,1550
332,885,516,2,1401
333,515,275,6,240
334,848,158,4,1006
335,926,374,1,1300
336,23,39,9,-16
337,332,705,5,-373
338,619,245,3,864
339,374,673,10,-299
340,214,965,10,-751
341,321,198,3,519
342,64,902,6,-838
343,320,114,4,434
344,844,306,4,1150
345,685,240,8,445
346,430,603,2,1033
347,358,319,5,39
348,554,961,10,-407
349,26,198,1,224
350,464,388,9,76
351,414,682,2,1096
352,321,699,7,-378
353,861,373,2,1234
354,216,526,2,742
355,746,885,6,-139
356,816,577,4,1393
357,799,242,10,557
358,747,295,3,1042
359,650,207,3,857
360,349,468,4,817
361,100,716,6,-616
362,534,727,8,-193
363,746,41,10,705
364,151,476,8,-325
365,298,759,7,-461
366,753,649,5,104
367,237,842,8,-605
368,206,564,10,-358
369,752,865,2,1617
370,10,166,3,176
371,489,604,1,1093
372,910,783,5,127
373,258,698,8,-440
374,445,352,7,93
375,473,157,9,316
376,451,111,1,562
377,510,573,8,-63
378,863,287,7,576
379,307,713,4,1020
380,656,866,5,-210
381,59,902,2,961
382,714,251,8,463
383,990,324,4,1314
384,136,802,5,-666
385,770,22,1,792
386,790,593,8,197
387,701,234,6,467
388,366,478,6,-112
389,927,576,3,1503
390,901,47,3,948
391,693,817,4,1510
392,142,43,5,99
393,226,727,10,-501
394,25,25,1,50
395,954,320,4,1274
396,604,520,5,84
397,867,262,1,1129
398,891,482,3,1373
399,283,232,2,515
400,398,760,9,-362
401,149,507,10,-358
402,164,67,5,97
403,141,292,6,-151
404,315,196,3,511
405,949,188,1,1137
406,947,75,9,872
407,832,625,4,1457
408,95,171,3,266
409,677,813,8,-136
410,856,547,1,1403
411,611,329,8,282
412,954,972,6,-18
413,876,965,3,1841
414,797,571,6,226
415,788,242,5,546
416,352,673,8,-321
417,481,237,2,718
418,570,487,5,83
419,109,686,8,-577
420,735,192,9,543
421,929,765,10,164
422,318,119,6,199
423,485,555,8,-70
424,785,940,4,1725
425,299,733,9,-434
426,305,766,1,1071
427,219,916,2,1135
428,548,410,6,138
429,505,930,10,-425
430,498,981,3,1479
431,841,957,9,-116
432,619,765,3,1384
433,199,867,6,-668
434,718,911,4,1629
435,397,673,6,-276
436,447,642,1,1089
437,944,392,8,552
438,233,17,5,216
439,606,553,2,1159
440,848,0,10,848
441,120,397,6,-277
442,872,736,8,136
443,407,437,6,-30
444,316,646,6,-330
445,873,57,9,816
446,524,692,7,-168
447,99,519,1,618
448,186,159,3,345
449,787,523,5,264
450,75,215,4,290
451,576,449,1,1025
452,318,785,9,-467
453,596,32,3,628
454,583,1,4,584
455,892,230,8,662
456,143,877,3,1020
457,27,202,3,229
458,337,86,2,423
459,997,375,4,1372
460,874,838,8,36
461,335,748,8,-413
462,251,745,9,-494
463,101,212,8,-111
464,739,727,3,1466
465,930,797,4,1727
466,97,554,5,-457
467,189,320,3,509
468,924,22,9,902
469,242,309,6,-67
470,331,182,7,149
471,209,775,8,-566
472,989,108,5,881
473,14,492,6,-478
474,452,646,10,-194
475,30,973,3,1003
476,506,733,1,1239
477,631,565,3,1196
478,608,688,10,-80
479,471,541,1,1012
480,313,624,1,937
481,29,687,4,716
482,236,668,3,904
483,835,485,2,1320
484,605,628,5,-23
485,591,670,1,1261
486,953,206,9,747
487,290,338,9,-48
488,721,109,3,830
489,501,79,6,422
490,927,445,7,482
491,149,259,6,-110
492,367,117,4,484
493,792,921,10,-129
494,149,552,10,-403
495,947,174,1,1121
496,504,755,10,-251
497,352,542,7,-190
498,954,695,1,1649
499,780,779,6,1
500,261,283,8,-22
501,473,949,7,-476
502,379,419,10,-40
503,982,666,4,1648
504,817,908,7,-91
505,935,50,8,885
506,487,6,6,481
507,234,755,4,989
508,94,971,5,-877
509,705,398,10,307
510,122,953,8,-831
511,671,416,9,255
512,721,817,4,1538
513,311,703,9,-392
514,272,964,9,-692
515,933,657,9,276
516,306,808,9,-502
517,598,945,1,1543
518,830,394,3,1224
519,282,418,7,-136
520,316,212,1,528
521,159,397,3,556
522,721,704,1,1425
523,854,375,2,1229
524,926,641,10,285
525,532,640,3,1172
526,316,206,10,110
527,919,78,9,841
528,467,147,6,320
529,943,221,5,722
530,893,885,5,8
531,898,797,9,101
532,809,446,10,363
533,479,320,2,799
534,271,264,5,7
535,599,854,3,1453
536,259,572,9,-313
537,908,857,10,51
538,536,431,8,105
539,470,633,5,-163
540,1,843,4,844
541,773,883,5,-110
542,464,957,6,-493
543,792,392,7,400
544,79,391,9,-312
545,86,136,9,-50
546,638,867,8,-229
547,123,788,6,-665
548,161,551,8,-390
549,858,774,3,1632
550,265,882,4,1147
551,405,896,6,-491
552,793,226,2,1019
553,745,747,7,-2
554,193,896,5,-703
555,328,339,2,667
556,37,598,3,635
557,532,273,5,259
558,90,105,7,-15
559,292,808,8,-516
560,287,402,9,-115
561,127,745,4,872
562,833,132,1,965
563,393,19,2,412
564,316,453,2,769
565,770,412,6,358
566,979,220,4,1199
567,386,860,6,-474
568,63,546,5,-483
569,843,462,3,1305
570,853,484,9,369
571,156,437,2,593
572,114,210,3,324
573,434,142,6,292
574,709,385,9,324
575,426,695,10,-269
576,498,36,5,462
577,393,576,9,-183
578,294,611,3,905
579,942,411,2,1353
580,381,812,6,-431
581,830,562,9,268
582,915,73,10,842
583,677,721,10,-44
584,433,503,4,936
585,755,88,2,843
586,594,736,1,1330
587,455,278,5,177
588,43,161,2,204
589,582,144,2,726
590,791,133,6,658
591,257,374,10,-117
592,32,460,2,492
593,310,524,6,-214
594,69,299,10,-230
595,677,579,7,98
596,607,93,2,700
597,635,764,7,-129
598,729,206,3,935
599,383,335,1,718
600,951,946,9,5
601,978,746,10,232
602,604,458,8,146
603,776,247,7,529
604,543,700,8,-157
605,174,434,10,-260
606,778,839,5,-61
607,560,83,5,477
608,354,25,7,329
609,328,553,8,-225
610,853,267,3,1120
611,384,406,6,-22
612,968,194,10,774
613,201,628,5,-427
614,703,401,1,1104
615,339,638,9,-299
616,299,755,5,-456
617,220,290,2,510
618,262,474,6,-212
619,910,625,1,1535
620,356,930,8,-574
621,150,579,3,729
622,948,924,7,24
623,264,842,7,-578
624,182,679,5,-497
625,328,333,5,-5
626,253,708,7,-455
627,668,677,9,-9
628,343,891,4,1234
629,250,70,10,180
630,440,270,3,710
631,835,292,8,543
632,978,532,3,1510
633,289,724,10,-435
634,87,870,7,-783
635,661,980,2,1641
636,69,699,5,-630
637,431,174,7,257
638,49,697,1,746
639,823,884,2,1707
640,807,336,8,471
641,731,571,4,1302
642,811,758,5,53
643,306,942,3,1248
644,956,9,6,947
645,1,311,8,-310
646,49,992,10,-943
647,92,807,5,-715
648,933,885,5,48
649,130,196,2,326
650,107,683,9,-576
651,483,741,9,-258
652,942,357,4,1299
653,991,179,10,812
654,791,777,7,14
655,975,616,4,1591
656,302,445,5,-143
657,950,183,3,1133
658,903,124,3,1027
659,55,580,1,635
660,463,161,5,302
661,904,527,6,377
662,292,52,10,240
663,671,436,9,235
664,619,387,10,232
665,202,285,5,-83
666,947,158,4,1105
667,638,140,3,778
668,610,520,6,90
669,638,991,10,-353
670,357,392,5,-35
671,399,144,9,255
672,461,975,10,-514
673,738,820,8,-82
674,939,155,1,1094
675,82,355,2,437
676,680,361,10,319
677,174,837,10,-663
678,27,572,10,-545
679,897,355,9,542
680,451,121,5,330
681,795,604,1,1399
682,408,651,2,1059
683,322,462,2,784
684,176,270,1,446
685,592,224,10,368
686,547,695,2,1242
687,438,678,9,-240
688,308,293,1,601
689,540,994,6,-454
690,788,1,7,787
691,873,26,6,847
692,632,524,3,1156
693,744,431,3,1175
694,601,167,7,434
695,820,554,8,266
696,188,911,10,-723
697,776,890,4,1666
698,315,831,6,-516
699,920,901,8,19
700,551,701,9,-150
701,29,291,7,-262
702,811,31,6,780
703,952,21,10,931
704,128,154,8,-26
705,652,578,8,74
706,459,490,5,-31
707,87,294,7,-207
708,481,12,7,469
709,178,261,8,-83
710,236,963,5,-727
711,508,616,5,-108
712,334,548,5,-214
713,499,308,9,191
714,421,827,6,-406
715,228,971,7,-743
716,579,158,8,421
717,946,99,3,1045
718,597,924,4,1521
719,288,324,7,-36
720,905,728,5,177
721,89,491,10,-402
722,399,298,10,101
723,603,498,1,1101
724,968,523,7,445
725,944,471,1,1415
726,311,677,1,988
727,163,38,7,125
728,646,594,2,1240
729,141,774,6,-633
730,870,421,3,1291
731,804,673,9,131
732,548,873,7,-325
733,662,521,2,1183
734,25,281,5,-256
735,12,667,7,-655
736,793,444,1,1237
737,724,622,7,102
738,133,254,6,-121
739,711,492,6,219
740,284,876,3,1160
741,203,489,1,692
742,961,684,2,1645
743,515,379,4,894
744,733,445,6,288
745,63,389,5,-326
746,383,515,3,898
747,470,112,7,358
748,514,600,2,1114
749,765,387,6,378
750,728,15,10,713
751,402,731,2,1133
752,139,582,5,-443
753,611,470,9,141
754,836,679,5,157
755,75,237,10,-162
756,107,926,6,-819
757,106,687,1,793
758,712,746,9,-34
759,100,866,10,-766
760,817,667,8,150
761,790,53,6,737
762,173,682,1,855
763,727,778,10,-51
764,291,481,2,772
765,190,829,1,1019
766,190,217,7,-27
767,225,400,1,625
768,552,304,9,248
769,95,73,1,168
770,987,927,4,1914
771,869,361,7,508
772,955,829,4,1784
773,996,113,6,883
774,730,331,9,399
775,273,521,6,-248
776,946,847,7,99
777,731,836,9,-105
778,219,178,4,397
779,890,842,1,1732
780,876,596,8,280
781,341,859,1,1200
782,429,130,3,559
783,233,350,6,-117
784,83,755,6,-672
785,538,185,5,353
786,762,212,7,550
787,870,982,2,1852
788,878,265,5,613
789,582,403,2,985
790,148,487,2,635
791,510,251,3,761
792,696,828,9,-132
793,521,912,5,-391
794,908,300,9,608
795,755,718,2,1473
796,612,580,1,1192
797,463,657,8,-194
798,584,510,2,1094
799,154,807,4,961
800,807,575,4,1382
801,976,317,4,1293
802,901,281,10,620
803,238,887,6,-649
804,132,895,4,1027
805,133,862,1,995
806,908,347,4,1255
807,2,729,3,731
808,899,973,6,-74
809,302,882,2,1184
810,864,737,5,127
811,281,911,10,-630
812,532,479,10,53
813,773,805,5,-32
814,537,233,4,770
815,841,208,7,633
816,283,444,8,-161
817,707,900,2,1607
818,23,340,5,-317
819,893,345,6,548
820,69,881,1,950
821,420,940,3,1360
822,124,59,5,65
823,943,182,10,761
824,750,585,3,1335
825,273,586,1,859
826,263,96,10,167
827,872,811,7,61
828,593,955,7,-362
829,394,139,10,255
830,676,577,1,1253
831,993,598,3,1591
832,566,735,6,-169
833,366,349,2,715
834,166,877,9,-711
835,570,666,9,-96
836,625,397,1,1022
837,650,21,10,629
838,86,161,6,-75
839,642,446,3,1088
840,239,908,8,-669
841,906,391,1,1297
842,238,997,4,1235
843,904,83,10,821
844,305,700,1,1005
845,131,604,8,-473
846,786,81,9,705
847,391,35,8,356
848,805,147,3,952
849,516,969,7,-453
850,286,438,5,-152
851,756,480,5,276
852,176,774,2,950
853,755,255,1,1010
854,78,745,3,823
855,267,145,2,412
856,809,217,3,1026
857,878,756,6,122
858,153,539,6,-386
859,202,592,5,-390
860,935,7,6,928
861,62,696,2,758
862,871,138,6,733
863,876,424,5,452
864,569,323,6,246
865,932,276,6,656
866,875,479,4,1354
867,847,830,4,1677
868,225,484,2,709
869,291,993,5,-702
870,86,86,10,0
871,290,430,3,720
872,321,904,3,1225
873,427,468,8,-41
874,785,127,7,658
875,815,837,7,-22
876,667,810,6,-143
877,81,718,10,-637
878,59,91,2,150
879,176,537,10,-361
880,395,432,3,827
881,785,583,2,1368
882,603,10,3,613
883,186,359,4,545
884,761,397,2,1158
885,302,247,7,55
886,909,292,4,1201
887,992,578,5,414
888,33,346,10,-313
889,416,194,5,222
890,177,721,3,898
891,475,152,10,323
892,368,381,4,749
893,549,77,1,626
894,374,973,5,-599
895,232,192,8,40
896,481,385,6,96
897,404,577,4,981
898,567,955,10,-388
899,408,907,6,-499
900,54,204,9,-150
901,853,242,5,611
902,39,97,5,-58
903,703,884,10,-181
904,675,809,8,-134
905,942,318,3,1260
906,345,688,3,1033
907,680,234,5,446
908,87,525,6,-438
909,530,210,2,740
910,312,243,10,69
911,27,531,4,558
912,888,156,8,732
913,83,117,2,200
914,423,912,6,-489
915,622,83,9,539
916,937,427,7,510
917,452,429,1,881
918,492,484,6,8
919,657,148,7,509
920,604,307,4,911
921,924,339,7,585
922,237,203,4,440
923,27,920,2,947
924,809,168,7,641
925,865,25,10,840
926,30,28,4,58
927,947,351,7,596
928,710,160,1,870
929,749,672,10,77
930,492,672,4,1164
931,11,319,2,330
932,602,174,3,776
933,963,574,2,1537
934,845,589,4,1434
935,198,144,5,54
936,634,520,7,114
937,213,332,2,545
938,166,119,2,285
939,400,665,3,1065
940,941,817,10,124
941,76,351,2,427
942,863,16,5,847
943,451,151,9,300
944,820,676,10,144
945,775,712,1,1487
946,461,959,2,1420
947,317,504,6,-187
948,923,896,3,1819
949,35,101,2,136
950,689,218,4,907
951,216,25,4,241
952,33,488,1,521
953,34,812,4,846
954,984,970,2,1954
955,251,641,8,-390
956,3,312,2,315
957,260,704,7,-444
958,396,282,7,114
959,687,660,5,27
960,86,243,9,-157
961,62,707,8,-645
962,213,979,9,-766
963,720,142,6,578
964,747,387,1,1134
965,52,151,2,203
966,794,146,1,940
967,920,80,2,1000
968,293,403,7,-110
969,23,273,3,296
970,365,608,4,973
971,498,738,6,-240
972,219,806,2,1025
973,597,975,8,-378
974,314,275,6,39
975,797,67,10,730
976,564,888,5,-324
977,152,610,8,-458
978,945,39,2,984
979,79,46,7,33
980,498,945,8,-447
981,336,460,9,-124
982,450,871,6,-421
983,544,83,8,461
984,411,398,5,13
985,0,279,7,-279
986,820,280,2,1100
987,788,140,8,648
988,511,75,4,586
989,298,780,7,-482
990,941,719,9,222
991,350,837,5,-487
992,337,813,3,1150
993,747,272,9,475
994,723,684,9,39
995,844,116,4,960
996,765,132,8,633
997,347,388,4,735
998,339,718,4,1057
999,462,729,3,1191
1000,376,362,9,14
1001,475,989,7,-514
1002,209,479,2,688
1003,783,537,7,246
1004,816,925,5,-109
1005,292,867,6,-575
1006,419,840,7,-421
1007,404,46,8,358
1008,743,65,10,678
1009,13,210,10,-197
1010,727,3,5,724
1011,115,197,2,312
1012,952,177,3,1129
1013,369,333,5,36
1014,842,680,10,162
1015,629,373,5,256
1016,974,966,1,1940
1017,779,278,7,501
1018,233,916,2,1149
1019,137,343,3,480
1020,711,86,1,797
1021,172,277,9,-105
1022,271,461,5,-190
1023,550,727,8,-177
1024,348,809,3,1157
1025,22,334,4,356
1026,43,861,7,-818
1027,575,827,1,1402
1028,441,32,3,473
1029,196,904,5,-708
1030,112,682,4,794
1031,646,573,2,1219
1032,607,938,4,1545
1033,479,958,5,-479
1034,118,14,9,104
1035,617,385,4,1002
1036,568,349,3,917
1037,445,673,2,1118
1038,684,188,5,496
1039,185,906,9,-721
1040,893,715,5,178
1041,55,709,1,764
1042,903,284,1,1187
1043,395,630,4,1025
1044,680,58,4,738
1045,142,225,2,367
1046,919,650,10,269
1047,193,364,6,-171
1048,500,296,10,204
1049,79,636,8,-557
1050,970,806,5,164
1051,915,357,10,558
1052,507,656,1,1163
1053,899,436,6,463
1054,380,18,3,398
1055,256,672,7,-416
1056,703,222,10,481
1057,841,128,1,969
1058,364,12,6,352
1059,114,582,1,696
1060,834,202,6,632
1061,341,824,6,-483
1062,699,400,8,299
1063,934,305,2,1239
1064,107,759,6,-652
1065,402,453,1,855
1066,536,985,9,-449
1067,535,78,6,457
1068,186,35,5,151
1069,260,797,7,-537
1070,267,668,1,935
1071,968,905,3,1873
1072,525,582,8,-57
1073,330,114,4,444
1074,447,970,1,1417
1075,825,894,2,1719
1076,420,626,6,-206
1077,17,168,6,-151
1078,965,351,1,1316
1079,848,604,7,244
1080,614,406,10,208
1081,915,569,2,1484
1082,569,478,10,91
1083,307,485,10,-178
1084,938,855,9,83
1085,694,228,6,466
1086,504,714,2,1218
1087,156,502,6,-346
1088,900,533,9,367
1089,940,986,3,1926
1090,347,810,3,1157
1091,978,608,5,370
1092,4,497,3,501
1093,704,464,10,240
1094,372,240,9,132
1095,808,154,8,654
1096,990,200,8,790
1097,760,230,6,530
1098,288,997,5,-709
1099,735,51,7,684
1100,833,354,5,479
1101,566,765,1,1331
1102,756,565,1,1321
1103,123,448,5,-325
1104,316,827,9,-511
1105,906,725,4,1631
1106,474,967,9,-493
1107,884,306,10,578
1108,539,283,10,256
1109,812,694,9,118
1110,761,138,4,899
1111,883,89,10,794
1112,39,701,8,-662
1113,585,381,6,204
1114,415,330,1,745
1115,185,520,3,705
1116,401,364,3,765
1117,973,644,10,329
1118,898,225,9,673
1119,320,889,8,-569
1120,541,623,4,1164
1121,882,795,7,87
1122,245,878,5,-633
1123,707,256,7,451
1124,840,580,6,260
1125,568,789,8,-221
1126,14,700,1,714
1127,873,66,4,939
1128,297,244,10,53
1129,903,247,6,656
1130,637,84,3,721
1131,581,472,1,1053
1132,538,537,7,1
1133,524,739,4,1263
1134,682,756,2,1438
1135,323,347,1,670
1136,562,383,4,945
1137,222,218,6,4
1138,378,82,7,296
1139,431,295,6,136
1140,651,197,2,848
1141,534,120,5,414
1142,67,702,6,-635
1143,356,452,5,-96
1144,642,319,5,323
1145,18,628,8,-610
1146,969,771,9,198
1147,856,863,9,-7
1148,473,578,5,-105
1149,438,724,7,-286
1150,323,391,1,714
1151,676,394,1,1070
1152,54,490,7,-436
1153,673,817,4,1490
1154,108,70,9,38
1155,39,585,7,-546
1156,904,199,7,705
1157,444,376,5,68
1158,693,149,3,842
1159,91,419,4,510
1160,246,536,8,-290
1161,546,469,3,1015
1162,700,274,2,974
1163,782,252,3,1034
1164,939,366,1,1305
1165,553,71,3,624
1166,947,198,3,1145
1167,479,66,7,413
1168,916,208,9,708
1169,356,25,7,331
1170,533,586,9,-53
1171,686,77,5,609
1172,669,961,4,1630
1173,352,260,1,612
1174,441,58,7,383
1175,2,357,1,359
1176,145,624,4,769
1177,287,606,4,893
1178,12,187,2,199
1179,14,133,2,147
1180,721,496,8,225
1181,683,280,6,403
1182,822,134,9,688
1183,301,904,5,-603
1184,969,526,2,1495
1185,649,547,3,1196
1186,256,887,2,1143
1187,241,72,8,169
1188,711,16,2,727
1189,397,583,5,-186
1190,417,367,7,50
1191,658,867,8,-209
1192,674,588,5,86
1193,278,161,2,439
1194,895,902,4,1797
1195,24,462,2,486
1196,484,966,9,-482
1197,216,28,1,244
1198,946,444,2,1390
1199,257,382,2,639
1200,176,420,1,596
1201,858,399,3,1257
1202,545,449,9,96
1203,373,940,1,1313
1204,391,878,2,1269
1205,38,869,8,-831
1206,620,368,4,988
1207,422,657,5,-235
1208,675,731,2,1406
1209,411,372,6,39
1210,934,204,8,730
1211,788,846,6,-58
1212,231,742,2,973
1213,394,358,10,36
1214,728,435,10,293
1215,185,753,10,-568
1216,438,885,10,-447
1217,424,938,1,1362
1218,545,644,7,-99
1219,890,305,8,585
1220,547,767,10,-220
1221,605,562,10,43
1222,95,101,2,196
1223,45,967,3,1012
1224,927,288,8,639
1225,280,832,7,-552
1226,881,457,1,1338
1227,179,490,1,669
1228,439,795,8,-356
1229,904,383,2,1287
1230,547,421,6,126
1231,854,414,7,440
1232,0,721,3,721
1233,309,840,4,1149
1234,754,163,7,591
1235,190,499,8,-309
1236,17,215,10,-198
1237,655,627,1,1282
1238,316,21,6,295
1239,835,972,9,-137
1240,455,192,3,647
1241,191,974,5,-783
1242,608,367,4,975
1243,27,290,3,317
1244,148,464,7,-316
1245,378,251,1,629
1246,778,583,10,195
1247,212,193,10,19
1248,741,568,7,173
1249,335,542,1,877
1250,483,999,4,1482
1251,688,919,7,-231
1252,900,250,4,1150
1253,215,804,3,1019
1254,833,977,7,-144
1255,356,856,6,-500
1256,458,419,1,877
1257,130,734,10,-604
1258,755,34,8,721
1259,965,531,10,434
1260,618,17,9,601
1261,325,417,5,-92
1262,442,698,2,1140
1263,157,614,6,-457
1264,843,493,3,1336
1265,333,717,3,1050
1266,254,359,1,613
1267,368,387,2,755
1268,292,373,1,665
1269,192,850,8,-658
1270,738,23,6,715
1271,36,599,2,635
1272,958,803,5,155
1273,704,262,5,442
1274,8,97,2,105
1275,346,824,8,-478
1276,164,442,7,-278
1277,576,844,1,1420
1278,708,376,7,332
1279,938,965,5,-27
1280,836,229,5,607
1281,904,566,4,1470
1282,581,387,2,968
1283,93,264,5,-171
1284,728,359,6,369
1285,455,233,9,222
1286,527,815,6,-288
1287,102,502,5,-400
1288,323,31,2,354
1289,826,2,10,824
1290,719,907,8,-188
1291,166,507,4,673
1292,989,63,9,926
1293,956,684,6,272
1294,289,405,4,694
1295,996,938,5,58
1296,0,114,9,-114
1297,979,207,4,1186
1298,86,677,5,-591
1299,771,998,4,1769
1300,214,655,6,-441
1301,526,841,2,1367
1302,267,560,4,827
