p,q,f,out
43,437,5,480
174,95,3,269
892,905,2,1797
74,381,7,455
796,791,8,1587
150,610,8,760
990,26,1,1016
25,262,3,287
311,686,7,997
646,814,2,1460
398,387,9,785
835,199,1,1034
423,419,2,842
378,836,3,1214
282,968,2,1250
861,733,8,1594
577,223,2,800
606,508,2,1114
734,619,9,1353
783,17,5,800
275,733,8,1008
849,472,3,1321
653,217,4,870
157,880,9,1037
476,962,3,1438
664,936,9,1600
733,521,9,1254
741,162,7,903
444,834,1,1278
357,994,4,1351
990,771,4,1761
108,715,4,823
503,757,7,1260
941,105,7,1046
948,805,7,1753
164,987,5,1151
858,184,1,1042
627,383,10,1010
805,805,9,1610
679,634,6,1313
834,255,8,1089
535,402,10,937
494,533,1,1027
22,187,6,209
647,721,1,1368
934,762,1,1696
193,833,10,1026
407,927,5,1334
617,551,4,1168
266,936,2,1202
392,888,7,1280
725,736,3,1461
359,859,4,1218
30,326,7,356
872,561,5,1433
990,732,4,1722
313,485,2,798
187,761,3,948
250,357,5,607
784,68,4,852
563,756,8,1319
673,636,1,1309
316,492,10,808
335,316,9,651
108,884,3,992
501,576,2,1077
875,217,9,1092
15,596,9,611
668,721,3,1389
488,877,5,1365
211,583,6,794
101,708,1,809
849,462,8,1311
39,52,4,91
91,659,7,750
876,4,7,880
932,826,2,1758
111,21,5,132
757,922,4,1679
100,588,2,688
423,34,6,457
229,605,2,834
175,928,3,1103
565,469,7,1034
96,186,6,282
452,641,8,1093
914,124,3,1038
283,722,1,1005
761,803,3,1564
148,505,9,653
490,505,5,995
659,973,6,1632
828,149,7,977
806,728,4,1534
672,585,8,1257
149,3,4,152
231,865,4,1096
764,634,3,1398
813,129,5,942
609,532,9,1141
587,966,3,1553
53,344,5,397
390,12,3,402
366,753,6,1119
32,31,3,63
759,392,4,1151
274,664,5,938
703,67,7,770
541,519,8,1060
51,430,9,481
527,811,1,1338
811,614,9,1425
75,979,2,1054
953,144,1,1097
182,551,6,733
721,282,9,1003
559,83,8,642
46,19,9,65
648,818,2,1466
690,478,5,1168
348,256,1,604
385,542,3,927
437,409,1,846
631,932,3,1563
804,854,4,1658
642,162,5,804
994,783,9,1777
357,965,1,1322
434,437,1,871
900,644,7,1544
674,51,3,725
271,102,9,373
601,226,7,827
147,890,9,1037
204,779,1,983
398,681,7,1079
47,168,3,215
656,516,1,1172
358,743,5,1101
286,835,8,1121
749,540,4,1289
747,778,7,1525
692,588,6,1280
861,902,10,1763
856,188,2,1044
196,747,4,943
622,744,4,1366
157,99,2,256
590,745,5,1335
652,908,1,1560
27,669,7,696
648,396,2,1044
348,894,9,1242
317,47,10,364
559,48,4,607
548,302,1,850
109,365,3,474
241,840,3,1081
676,167,9,843
185,199,8,384
190,339,2,529
386,955,5,1341
829,945,1,1774
845,651,2,1496
886,189,9,1075
602,106,4,708
256,677,8,933
75,391,10,466
491,672,4,1163
684,860,9,1544
668,234,4,902
381,81,4,462
497,125,6,622
73,200,9,273
943,468,8,1411
601,808,4,1409
496,81,8,577
751,760,10,1511
795,6,6,801
221,173,5,394
729,869,1,1598
296,812,8,1108
903,338,2,1241
226,106,1,332
408,316,10,724
709,946,5,1655
303,8,7,311
965,965,6,1930
244,56,4,300
553,214,4,767
604,464,6,1068
745,112,8,857
661,147,8,808
387,674,3,1061
247,180,1,427
892,645,10,1537
967,787,3,1754
966,352,2,1318
657,229,8,886
958,635,1,1593
189,630,10,819
119,433,8,552
714,853,10,1567
50,655,5,705
709,514,6,1223
677,126,3,803
137,511,3,648
365,712,6,1077
281,84,5,365
867,553,5,1420
188,752,2,940
677,191,7,868
562,936,8,1498
497,108,10,605
167,834,9,1001
607,543,3,1150
237,611,7,848
432,388,9,820
543,300,3,843
832,966,7,1798
349,227,6,576
676,441,9,1117
497,304,3,801
230,531,7,761
165,826,8,991
974,18,8,992
116,296,5,412
538,206,5,744
804,516,9,1320
420,101,1,521
744,825,7,1569
623,249,2,872
219,887,7,1106
779,634,3,1413
596,734,10,1330
897,135,2,1032
442,734,4,1176
959,749,9,1708
708,882,7,1590
997,880,1,1877
589,270,9,859
749,871,6,1620
356,911,4,1267
832,22,5,854
133,447,8,580
85,203,5,288
474,244,9,718
755,781,8,1536
131,407,9,538
886,849,7,1735
34,940,9,974
874,481,2,1355
676,978,2,1654
494,906,4,1400
54,67,2,121
187,203,5,390
605,139,10,744
305,352,5,657
9,3,7,12
910,44,4,954
193,147,10,340
639,745,9,1384
406,134,1,540
676,312,8,988
178,885,9,1063
281,63,5,344
832,553,6,1385
571,96,7,667
682,510,5,1192
43,42,6,85
0,644,2,644
397,797,7,1194
900,431,4,1331
211,609,7,820
558,319,1,877
496,19,10,515
194,422,6,616
577,194,7,771
363,126,4,489
47,13,5,60
169,313,10,482
846,599,9,1445
981,538,1,1519
542,684,10,1226
520,413,1,933
666,749,8,1415
819,51,5,870
95,348,9,443
399,436,5,835
448,255,2,703
135,541,6,676
87,417,5,504
416,763,5,1179
435,254,3,689
148,231,7,379
892,57,8,949
166,746,9,912
924,164,3,1088
337,711,3,1048
513,644,3,1157
598,29,1,627
503,962,9,1465
88,759,2,847
1,235,6,236
440,599,6,1039
84,808,3,892
198,946,2,1144
213,861,10,1074
218,216,3,434
11,839,1,850
123,424,8,547
221,368,7,589
812,235,6,1047
845,834,7,1679
267,225,2,492
638,325,8,963
188,969,6,1157
694,940,1,1634
490,751,6,1241
835,227,8,1062
565,13,5,578
861,697,8,1558
292,286,8,578
567,400,1,967
489,495,5,984
925,216,3,1141
390,985,9,1375
303,644,5,947
33,892,9,925
254,974,2,1228
787,751,3,1538
232,138,9,370
903,413,7,1316
633,558,6,1191
970,947,6,1917
654,889,7,1543
595,561,10,1156
613,702,10,1315
705,871,6,1576
784,835,3,1619
184,831,5,1015
573,511,3,1084
859,806,8,1665
152,172,10,324
30,49,4,79
351,627,1,978
958,717,1,1675
276,391,3,667
742,468,3,1210
657,971,8,1628
455,554,8,1009
300,342,10,642
96,120,4,216
28,745,7,773
448,507,1,955
45,368,9,413
193,783,3,976
588,76,8,664
102,204,9,306
451,808,5,1259
580,315,9,895
609,505,9,1114
170,0,7,170
201,917,9,1118
765,158,2,923
543,272,4,815
329,64,6,393
778,477,7,1255
630,984,10,1614
624,569,2,1193
124,123,9,247
182,126,6,308
763,734,3,1497
363,763,5,1126
918,730,9,1648
794,956,8,1750
659,224,10,883
961,857,2,1818
28,235,10,263
270,805,3,1075
398,701,2,1099
126,552,5,678
587,324,9,911
894,924,7,1818
762,947,6,1709
799,279,1,1078
741,533,8,1274
438,91,7,529
981,539,4,1520
900,890,6,1790
64,645,8,709
661,699,8,1360
524,135,8,659
485,294,10,779
21,494,5,515
212,753,10,965
569,691,8,1260
669,367,10,1036
10,218,10,228
489,833,3,1322
369,285,2,654
975,235,6,1210
95,271,4,366
678,75,6,753
532,741,2,1273
164,406,8,570
303,231,1,534
702,696,8,1398
111,357,2,468
270,83,5,353
553,734,2,1287
860,918,3,1778
673,213,7,886
733,440,4,1173
766,720,9,1486
984,913,3,1897
26,635,10,661
222,793,4,1015
685,358,3,1043
741,610,8,1351
916,643,1,1559
766,993,8,1759
750,737,7,1487
724,904,6,1628
206,962,6,1168
15,351,7,366
636,656,8,1292
752,866,6,1618
323,285,10,608
258,542,8,800
580,968,7,1548
659,306,2,965
212,353,10,565
655,267,4,922
72,848,8,920
314,7,10,321
308,539,5,847
253,263,5,516
313,478,4,791
853,532,5,1385
636,623,8,1259
252,104,8,356
197,56,2,253
281,232,9,513
676,149,8,825
661,155,4,816
632,768,6,1400
534,213,7,747
883,325,9,1208
707,570,3,1277
307,265,9,572
591,423,10,1014
878,704,2,1582
436,706,9,1142
776,509,4,1285
220,962,1,1182
797,749,8,1546
845,745,10,1590
971,658,2,1629
916,92,1,1008
829,252,5,1081
803,942,5,1745
168,602,3,770
59,975,4,1034
173,285,9,458
346,516,6,862
106,931,7,1037
993,984,5,1977
273,714,5,987
106,104,8,210
332,441,9,773
60,852,6,912
249,12,10,261
252,114,8,366
571,811,10,1382
432,668,3,1100
694,677,5,1371
824,694,8,1518
494,592,3,1086
588,830,7,1418
902,795,3,1697
719,116,9,835
871,816,10,1687
394,518,2,912
684,303,5,987
263,819,10,1082
604,443,7,1047
672,832,9,1504
690,475,3,1165
621,235,10,856
407,785,7,1192
135,569,3,704
937,621,6,1558
131,59,6,190
809,152,1,961
982,803,8,1785
330,532,8,862
591,580,4,1171
426,338,6,764
347,206,10,553
504,742,4,1246
249,470,10,719
895,700,8,1595
970,277,2,1247
132,52,4,184
576,203,8,779
117,662,8,779
837,386,2,1223
454,289,1,743
582,292,4,874
114,915,1,1029
234,243,4,477
158,626,7,784
871,847,5,1718
348,10,3,358
313,456,10,769
406,308,8,714
621,44,10,665
866,194,8,1060
709,114,5,823
74,471,8,545
197,903,2,1100
847,254,2,1101
485,891,6,1376
982,550,7,1532
229,644,4,873
550,995,10,1545
375,772,5,1147
73,808,2,881
778,501,7,1279
969,225,1,1194
721,562,6,1283
597,175,5,772
806,160,2,966
204,414,7,618
924,872,4,1796
501,31,6,532
798,395,7,1193
998,167,9,1165
631,503,5,1134
526,737,10,1263
182,725,8,907
330,907,7,1237
492,27,5,519
214,624,8,838
698,282,2,980
853,390,10,1243
46,921,3,967
382,880,2,1262
399,502,6,901
18,224,4,242
563,694,2,1257
749,510,10,1259
175,193,9,368
709,506,8,1215
708,124,4,832
255,153,7,408
506,642,8,1148
623,307,3,930
41,705,7,746
614,343,9,957
882,10,2,892
983,875,8,1858
720,174,6,894
16,479,2,495
974,245,6,1219
380,879,2,1259
581,755,4,1336
426,17,8,443
662,625,1,1287
697,965,3,1662
741,908,5,1649
935,912,7,1847
907,83,6,990
53,658,3,711
104,966,3,1070
774,341,7,1115
541,987,7,1528
883,121,9,1004
855,469,8,1324
562,412,4,974
402,880,9,1282
667,745,4,1412
295,372,4,667
575,356,10,931
649,87,10,736
239,769,7,1008
375,984,1,1359
0,696,4,696
545,728,1,1273
617,528,3,1145
352,582,7,934
139,855,9,994
117,776,9,893
796,974,9,1770
944,998,8,1942
101,864,2,965
575,430,2,1005
732,676,9,1408
158,289,3,447
81,265,5,346
437,680,1,1117
842,112,5,954
60,896,10,956
832,27,5,859
411,877,5,1288
669,832,7,1501
141,36,7,177
23,886,3,909
564,229,7,793
410,678,4,1088
30,376,4,406
98,961,2,1059
523,152,6,675
377,342,4,719
9,639,7,648
766,460,9,1226
652,99,6,751
227,600,4,827
873,823,7,1696
80,641,7,721
510,912,1,1422
737,833,9,1570
525,487,10,1012
55,98,2,153
773,545,8,1318
337,114,4,451
861,636,8,1497
720,687,2,1407
688,143,10,831
236,276,3,512
243,490,3,733
726,497,8,1223
505,647,4,1152
278,970,3,1248
465,341,4,806
462,108,9,570
684,688,7,1372
978,618,7,1596
194,508,2,702
404,344,5,748
197,93,1,290
485,394,9,879
969,804,10,1773
486,28,5,514
758,435,2,1193
219,492,9,711
393,984,10,1377
307,217,7,524
719,137,5,856
656,581,9,1237
924,952,6,1876
401,811,3,1212
766,851,9,1617
646,684,7,1330
735,170,3,905
28,513,3,541
885,80,8,965
801,811,8,1612
268,633,10,901
270,809,1,1079
657,212,3,869
716,863,10,1579
699,544,4,1243
747,443,4,1190
713,66,4,779
383,43,4,426
780,511,9,1291
865,567,3,1432
167,275,2,442
406,916,10,1322
872,563,4,1435
927,9,9,936
14,922,3,936
575,870,6,1445
847,189,2,1036
390,847,4,1237
538,217,4,755
183,642,7,825
920,472,5,1392
850,494,5,1344
0,95,8,95
699,186,4,885
196,388,10,584
745,864,4,1609
844,850,5,1694
598,324,1,922
144,247,5,391
383,438,1,821
922,153,6,1075
987,907,3,1894
265,841,8,1106
523,686,2,1209
691,719,9,1410
457,688,2,1145
216,597,3,813
202,803,2,1005
417,285,7,702
610,579,4,1189
532,286,8,818
411,95,8,506
92,75,3,167
554,136,10,690
968,494,5,1462
192,779,2,971
943,999,10,1942
478,573,10,1051
171,645,1,816
665,897,2,1562
865,178,1,1043
256,83,4,339
948,266,8,1214
446,150,8,596
777,120,3,897
181,812,10,993
550,281,1,831
923,751,3,1674
935,954,1,1889
516,547,2,1063
38,462,4,500
984,608,5,1592
488,45,4,533
624,68,7,692
764,812,9,1576
586,191,8,777
58,408,9,466
606,684,1,1290
164,991,2,1155
412,652,2,1064
180,701,5,881
118,464,5,582
260,574,10,834
121,925,5,1046
537,896,5,1433
884,19,8,903
405,940,10,1345
386,817,10,1203
34,841,7,875
148,684,1,832
523,183,9,706
261,274,5,535
422,220,1,642
127,162,4,289
227,193,3,420
866,299,3,1165
13,269,5,282
438,165,5,603
568,408,9,976
462,194,3,656
726,300,6,1026
130,273,4,403
411,521,10,932
69,644,7,713
88,829,3,917
883,963,6,1846
274,880,10,1154
69,528,9,597
767,123,10,890
314,1,8,315
166,543,4,709
46,783,5,829
148,572,10,720
605,462,6,1067
650,301,4,951
599,831,6,1430
320,326,10,646
12,878,1,890
662,403,6,1065
69,162,2,231
887,995,9,1882
29,725,8,754
744,573,5,1317
608,463,4,1071
672,581,2,1253
235,788,5,1023
779,503,8,1282
463,203,10,666
171,568,10,739
656,87,6,743
493,985,7,1478
895,82,1,977
44,564,1,608
45,947,4,992
446,233,10,679
986,652,5,1638
428,398,5,826
802,49,4,851
23,638,10,661
77,72,7,149
802,455,2,1257
370,987,6,1357
618,511,8,1129
753,408,5,1161
275,775,7,1050
176,44,1,220
583,50,9,633
243,686,1,929
263,943,7,1206
51,184,7,235
749,622,8,1371
171,834,1,1005
610,2,2,612
706,158,3,864
602,346,1,948
91,435,10,526
382,264,3,646
949,796,8,1745
135,57,5,192
691,813,5,1504
844,704,8,1548
669,177,3,846
7,251,6,258
470,210,10,680
623,349,1,972
983,830,6,1813
343,663,7,1006
605,2,10,607
603,115,8,718
475,62,10,537
711,372,8,1083
57,219,8,276
40,361,4,401
621,547,4,1168
957,283,4,1240
110,683,3,793
445,135,7,580
213,950,2,1163
456,391,10,847
246,518,1,764
86,112,2,198
56,19,4,75
9,885,6,894
174,510,5,684
889,969,3,1858
458,542,9,1000
762,24,2,786
448,719,10,1167
920,625,4,1545
5,552,10,557
373,79,3,452
355,486,7,841
477,303,4,780
195,522,10,717
985,215,1,1200
624,247,6,871
602,216,7,818
900,409,1,1309
114,808,4,922
907,118,8,1025
306,45,6,351
140,437,7,577
515,186,3,701
55,574,3,629
31,77,7,108
309,745,1,1054
528,787,4,1315
76,179,5,255
381,378,9,759
140,264,4,404
909,759,4,1668
450,377,5,827
842,301,2,1143
868,860,5,1728
192,643,6,835
998,963,9,1961
205,463,9,668
785,813,9,1598
975,856,5,1831
49,143,7,192
397,347,3,744
570,874,8,1444
112,813,6,925
87,561,7,648
85,155,6,240
709,111,8,820
286,194,4,480
665,610,8,1275
81,206,5,287
886,776,5,1662
991,311,1,1302
962,766,6,1728
854,626,5,1480
426,423,1,849
523,73,9,596
145,349,1,494
593,550,6,1143
554,420,10,974
521,161,8,682
637,958,7,1595
868,510,9,1378
648,385,10,1033
482,642,3,1124
539,572,10,1111
383,448,5,831
139,838,5,977
957,56,3,1013
880,224,3,1104
340,952,4,1292
424,569,7,993
210,218,3,428
970,71,5,1041
745,662,9,1407
629,615,1,1244
174,414,9,588
399,843,9,1242
166,592,10,758
681,841,7,1522
354,127,4,481
335,395,6,730
503,372,8,875
566,315,3,881
162,652,4,814
668,70,6,738
747,714,8,1461
402,582,5,984
465,517,2,982
398,438,3,836
146,284,5,430
168,428,3,596
515,440,4,955
695,63,8,758
930,897,5,1827
483,202,6,685
965,600,8,1565
438,706,4,1144
554,141,2,695
829,738,1,1567
197,956,4,1153
844,430,5,1274
40,341,4,381
606,742,7,1348
906,617,5,1523
588,201,8,789
515,792,8,1307
501,725,1,1226
210,487,7,697
348,131,4,479
278,431,4,709
883,174,5,1057
48,671,6,719
232,918,10,1150
645,42,5,687
741,634,7,1375
158,625,8,783
410,127,1,537
595,363,2,958
784,88,10,872
765,626,7,1391
218,846,8,1064
852,549,9,1401
602,370,2,972
503,947,8,1450
618,763,1,1381
95,225,6,320
960,258,3,1218
404,180,5,584
972,443,6,1415
540,962,3,1502
271,507,2,778
635,963,3,1598
722,453,3,1175
537,208,6,745
1,346,1,347
776,359,4,1135
276,942,6,1218
528,155,9,683
283,983,1,1266
134,114,5,248
875,970,9,1845
700,118,2,818
679,997,4,1676
152,764,7,916
961,926,10,1887
405,929,8,1334
710,131,8,841
283,539,5,822
855,388,10,1243
362,670,2,1032
445,634,1,1079
236,515,2,751
998,393,2,1391
904,147,4,1051
89,105,9,194
606,281,10,887
246,374,4,620
39,254,2,293
392,197,3,589
460,890,2,1350
516,525,1,1041
301,657,7,958
563,267,5,830
949,554,10,1503
169,722,1,891
982,917,8,1899
873,993,1,1866
321,446,1,767
690,817,3,1507
248,873,4,1121
612,324,4,936
353,539,3,892
109,967,1,1076
629,421,5,1050
975,960,6,1935
292,493,5,785
662,765,1,1427
329,843,3,1172
175,980,4,1155
935,881,8,1816
937,256,7,1193
143,256,5,399
448,35,3,483
114,170,2,284
283,8,10,291
174,468,6,642
29,816,6,845
224,382,3,606
715,819,10,1534
454,632,4,1086
643,258,1,901
277,477,9,754
422,55,3,477
920,660,1,1580
363,611,9,974
90,388,9,478
731,822,10,1553
72,533,8,605
703,866,3,1569
810,311,8,1121
617,605,10,1222
258,74,1,332
819,403,4,1222
383,466,9,849
175,119,2,294
768,890,10,1658
796,810,8,1606
295,470,5,765
468,389,2,857
492,324,4,816
845,393,7,1238
377,424,6,801
376,137,3,513
219,397,2,616
483,552,7,1035
187,309,10,496
409,293,5,702
75,622,2,697
80,172,8,252
657,67,6,724
62,411,1,473
431,620,6,1051
9,319,8,328
717,410,9,1127
396,895,10,1291
470,744,2,1214
886,934,3,1820
246,952,4,1198
758,770,5,1528
252,724,7,976
173,765,3,938
292,839,6,1131
814,635,9,1449
710,540,5,1250
922,227,10,1149
648,64,1,712
402,316,7,718
227,713,5,940
16,62,9,78
357,164,4,521
902,247,3,1149
869,501,8,1370
919,67,7,986
934,212,5,1146
978,717,4,1695
416,380,1,796
694,485,9,1179
373,499,7,872
119,882,4,1001
327,87,7,414
937,590,1,1527
177,802,3,979
709,514,5,1223
737,669,10,1406
17,788,10,805
980,95,10,1075
959,936,1,1895
497,708,1,1205
220,803,4,1023
229,629,5,858
235,557,1,792
488,607,5,1095
622,818,2,1440
399,815,2,1214
93,83,9,176
208,596,2,804
584,656,1,1240
196,817,6,1013
521,710,6,1231
660,441,10,1101
720,275,4,995
785,986,10,1771
978,738,5,1716
529,972,6,1501
358,560,4,918
764,537,4,1301
255,199,1,454
876,190,3,1066
511,647,10,1158
228,293,6,521
881,605,1,1486
496,304,5,800
568,310,2,878
274,173,6,447
235,55,5,290
307,361,5,668
743,480,8,1223
35,578,6,613
263,479,2,742
753,594,5,1347
48,399,9,447
385,169,6,554
636,301,7,937
844,70,4,914
540,97,4,637
622,805,5,1427
24,762,4,786
54,589,1,643
701,196,6,897
57,893,10,950
837,181,9,1018
582,123,8,705
859,145,3,1004
818,265,5,1083
406,68,4,474
491,398,8,889
415,481,9,896
888,230,5,1118
285,819,10,1104
0,657,5,657
295,654,10,949
169,891,9,1060
434,389,4,823
284,293,4,577
878,692,4,1570
164,867,9,1031
832,674,1,1506
471,925,6,1396
39,3,8,42
107,56,5,163
441,174,2,615
242,0,6,242
987,459,6,1446
86,387,7,473
436,454,8,890
579,728,5,1307
523,747,6,1270
457,165,8,622
277,911,2,1188
567,838,1,1405
970,584,8,1554
386,351,6,737
355,514,10,869
364,915,8,1279
607,679,4,1286
981,645,5,1626
245,571,10,816
318,167,8,485
344,669,10,1013
703,224,8,927
723,536,5,1259
405,27,2,432
763,57,4,820
395,142,1,537
791,194,3,985
735,887,9,1622
905,433,9,1338
519,188,8,707
318,446,2,764
909,141,6,1050
224,890,9,1114
718,482,4,1200
293,908,9,1201
808,834,8,1642
773,529,6,1302
925,420,8,1345
418,882,4,1300
635,301,7,936
772,979,1,1751
51,577,9,628
288,732,3,1020
446,914,6,1360
862,983,7,1845
208,554,3,762
260,814,4,1074
96,212,3,308
207,286,5,493
404,416,6,820
545,342,6,887
376,226,2,602
614,86,7,700
453,301,9,754
159,787,5,946
638,512,5,1150
965,396,3,1361
565,52,7,617
408,530,8,938
373,796,9,1169
453,18,5,471
349,981,9,1330
561,11,2,572
231,145,6,376
894,212,7,1106
381,21,4,402
95,695,2,790
138,271,7,409
485,5,6,490
150,598,4,748
115,468,10,583
689,736,6,1425
111,252,2,363
718,865,10,1583
793,634,3,1427
911,345,10,1256
512,512,3,1024
262,398,7,660
121,300,5,421
274,827,3,1101
98,147,8,245
326,498,7,824
794,483,5,1277
999,293,4,1292
513,300,8,813
930,687,4,1617
677,142,6,819
210,932,6,1142
202,111,5,313
930,183,7,1113
654,259,2,913
329,672,10,1001
124,700,7,824
967,850,8,1817
385,539,6,924
703,360,2,1063
902,341,2,1243
902,288,1,1190
917,75,7,992
28,387,6,415
354,637,6,991
951,494,8,1445
584,594,4,1178
940,47,10,987
758,841,9,1599
771,113,8,884
61,949,4,1010
937,751,3,1688
183,521,8,704
187,186,4,373
108,255,9,363
505,82,5,587
440,921,4,1361
987,193,8,1180
177,9,3,186
249,685,8,934
140,170,2,310
154,254,9,408
300,888,1,1188
756,261,6,1017
309,438,3,747
592,556,4,1148
230,46,6,276
405,248,5,653
700,220,3,920
689,282,7,971
886,178,2,1064
500,15,3,515
287,251,9,538
849,312,8,1161
54,469,1,523
3,587,9,590
175,618,8,793
319,763,4,1082
691,335,4,1026
18,101,3,119
972,519,4,1491
936,31,9,967
771,648,10,1419
853,238,9,1091
219,728,6,947
845,368,1,1213
498,344,1,842
469,154,10,623
956,923,4,1879
54,377,10,431
444,226,3,670
808,812,9,1620
960,811,10,1771
0,181,2,181
966,797,6,1763
749,30,7,779
755,803,10,1558
843,492,3,1335
170,331,9,501
155,972,6,1127
348,594,2,942
503,980,5,1483
55,713,2,768
327,948,6,1275
801,911,8,1712
422,300,10,722
432,492,9,924
673,476,8,1149
369,717,7,1086
803,447,9,1250
264,964,10,1228
30,635,3,665
12,373,8,385
184,976,5,1160
306,421,8,727
619,836,9,1455
214,21,2,235
66,351,7,417
460,667,6,1127
999,248,2,1247
312,161,2,473
250,152,5,402
27,934,8,961
511,3,8,514
903,559,5,1462
971,92,1,1063
958,441,7,1399
57,735,1,792
766,387,1,1153
865,646,3,1511
317,998,4,1315
991,267,1,1258
428,977,2,1405
38,754,8,792
331,999,2,1330
805,825,10,1630
251,413,1,664
546,581,9,1127
731,780,3,1511
365,701,3,1066
810,956,6,1766
294,569,9,863
916,353,6,1269
628,1,1,629
393,755,5,1148
198,727,3,925
680,111,6,791
143,87,8,230
608,66,7,674
432,170,4,602
628,328,5,956
73,246,10,319
396,536,5,932
124,295,7,419
6,338,6,344
698,921,10,1619
12,608,10,620
441,766,6,1207
403,165,10,568
209,864,1,1073
866,440,5,1306
136,285,6,421
449,976,1,1425
580,696,2,1276
912,69,1,981
791,562,8,1353
328,607,9,935
712,511,2,1223
412,758,1,1170
536,471,4,1007
199,960,10,1159
280,75,2,355
758,690,2,1448
397,744,1,1141
596,932,3,1528
435,523,2,958
433,522,6,955
20,41,7,61
774,276,6,1050
300,102,7,402
452,218,4,670
444,784,5,1228
863,796,1,1659
319,733,7,1052
962,301,8,1263
771,292,6,1063
931,395,1,1326
250,405,1,655
296,516,3,812
596,581,8,1177
440,574,4,1014
